,rewards
1008,-3.75
1009,-3.4375
1010,-0.0
1011,-4.6875
1012,-5.9375
1013,-7.812500000000001
1014,-4.6875
1015,-3.4375
1016,-5.3125
1017,-1.875
1018,-5.0
1019,-8.75
1020,-1.875
1021,-8.125
1022,-2.5
1023,-5.9375
1024,-7.5
1025,-5.0
1026,-0.0
1027,-2.8125
1028,-2.5
1029,-4.0625
1030,-5.9375
1031,-6.875
1032,-5.3125
1033,-2.5
1034,-4.0625
1035,-4.375
1036,-4.0625
1037,-2.1875
1038,-9.375
1039,-0.3125
1040,-0.0
1041,-6.875
1042,-3.75
1043,-0.0
1044,-3.4375
1045,-7.1875
1046,-9.0625
1047,-3.125
1048,-1.5625
1049,-2.8125
1050,-3.75
1051,-5.625
1052,-6.875
1053,-3.75
1054,-5.3125
1055,-2.8125
1056,-3.4375
1057,-2.5
1058,-5.9375
1059,-1.875
1060,-2.1875
1061,-5.3125
1062,-5.0
1063,-1.875
1064,-4.6875
1065,-4.0625
1066,-6.875
1067,-9.0625
1068,-6.5625
1069,-5.3125
1070,-3.75
1071,-4.375
1072,-3.4375
1073,-5.3125
1074,-5.625
1075,-0.0
1076,-0.9375
1077,-11.5625
1078,-0.0
1079,-0.0
1080,-0.9375
1081,-11.875
1082,-12.5
1083,-0.0
1084,-2.1875
1085,-4.375
1086,-11.875
1087,-5.0
1088,-4.0625
1089,-6.25
1090,-0.0
1091,-7.5
1092,-2.1875
1093,-0.0
1094,-10.0
1095,-3.75
1096,-8.4375
1097,-4.375
1098,-0.0
1099,-0.3125
1100,-3.75
1101,-2.8125
1102,-4.375
1103,-3.4375
1104,-2.8125
1105,-4.375
1106,-5.0
1107,-4.375
1108,-4.0625
1109,-0.625
1110,-2.8125
1111,-12.5
1112,-7.812500000000001
1113,-0.9375
1114,-3.4375
1115,-7.5
1116,-10.3125
1117,-2.8125
1118,-2.8125
1119,-9.0625
1120,-0.0
1121,-6.875
1122,-12.1875
1123,-1.875
1124,-6.875
1125,-3.4375
1126,-6.875
1127,-4.0625
1128,-6.5625
1129,-2.5
1130,-2.5
1131,-5.9375
1132,-3.125
1133,-5.9375
1134,-9.0625
1135,-2.1875
1136,-0.0
1137,-7.5
1138,-2.8125
1139,-4.0625
1140,-7.5
1141,-5.0
1142,-1.875
1143,-4.6875
1144,-1.5625
1145,-6.25
1146,-0.0
1147,-7.812500000000001
1148,-5.9375
1149,-3.125
1150,-11.5625
1151,-4.0625
1152,-3.4375
1153,-10.3125
1154,-2.5
1155,-2.5
1156,-4.6875
1157,-5.0
1158,-3.125
1159,-4.0625
1160,-4.0625
1161,-6.875
1162,-2.5
1163,-4.6875
1164,-5.9375
1165,-2.8125
1166,-8.125
1167,-0.0
1168,-6.25
1169,-2.5
1170,-9.0625
1171,-2.5
1172,-4.6875
1173,-0.0
1174,-4.0625
1175,-3.4375
1176,-4.375
1177,-6.875
1178,-7.1875
1179,-4.0625
1180,-0.0
1181,-8.125
1182,-9.375
1183,-2.8125
1184,-2.8125
1185,-2.5
1186,-2.8125
1187,-6.25
1188,-2.5
1189,-2.8125
1190,-2.8125
1191,-1.875
1192,-3.75
1193,-7.1875
1194,-11.25
1195,-5.3125
1196,-4.6875
1197,-1.25
1198,-5.3125
1199,-4.375
1200,-11.25
1201,-3.75
1202,-3.4375
1203,-7.1875
1204,-2.8125
1205,-6.5625
1206,-6.5625
1207,-6.25
1208,-5.3125
1209,-1.875
1210,-1.5625
1211,-1.5625
1212,-1.5625
1213,-2.8125
1214,-0.0
1215,-8.75
1216,-9.0625
1217,-3.4375
1218,-1.875
1219,-6.25
1220,-5.3125
1221,-3.75
1222,-6.25
1223,-7.812500000000001
1224,-9.0625
1225,-2.8125
1226,-9.0625
1227,-4.0625
1228,-6.875
1229,-5.9375
